year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2020,3.4,Nokia,8,Android,10,"[('32', '3'), ('64', '3'), ('64', '4')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity']",161 x 76 x 8.7,180,Nano-SIM,6.39,81.9,720 x 1560,269,100,4000
2020,2.4,Nokia,8,Android,10,"[('32', '2'), ('64', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity']",165.9 x 76.3 x 8.7,195,Nano-SIM,6.5,80.6,720 x 1600,270,240,4500
2020,C3,Nokia,8,Android,10,"[('16', '2'), ('32', '2'), ('32', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity']",159.9 x 77 x 8.7,184.5,Nano-SIM,5.99,75.2,720 x 1440,269,130,3040
2020,C5 Endi,Nokia,8,Android,10,"[('64', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",171.7 x 76.7 x 8.9,200,Nano-SIM,6.52,77.9,720 x 1600,269,150,4000
2020,C2 Tennen,Nokia,4,Android,10,"[('16', '2'), ('32', '2')]",111,"['Accelerometer', 'proximity']",150.6 x 72.4 x 9.1,180,Nano-SIM,5.45,70.3,720 x 1440,295,60,3000
2020,C2 Tava,Nokia,4,Android,10,"[('16', '2'), ('32', '2')]",111,"['Accelerometer', 'proximity']",150.6 x 72.4 x 9.1,180,Nano-SIM,5.45,70.3,720 x 1440,295,100,3000
2020,150 (2020),Nokia,,,,"[('4',)]",001,[''],132 x 50.5 x 15,90.5,Mini-SIM,2.4,26.8,240 x 320,167,30,1020
2020,125,Nokia,,,,"[('4',)]",001,[''],132 x 50.5 x 15,91.3,Mini-SIM,2.4,26.8,240 x 320,167,20,1020
2020,8.3 5G,Nokia,8,Android,10,"[('64', '6'), ('64', '8'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",171.9 x 78.6 x 9,220,Nano-SIM,6.81,82.9,1080 x 2400,386,470,4500
2020,5.3,Nokia,8,Android,10,"[('64', '3'), ('64', '4'), ('64', '6'), ('128', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity']",164.3 x 76.6 x 8.5,185,Nano-SIM,6.55,82.3,720 x 1600,268,290,4000
2020,1.3,Nokia,4,Android,10,"[('16', '1')]",111,"['Accelerometer', 'proximity']",147.3 x 71.2 x 9.4,155,Nano-SIM,5.71,77.6,720 x 1520,295,170,3000
2020,5310 (2020),Nokia,,,,"[('16', '8')]",001,[''],123.7 x 52.4 x 13.1,88.2,Mini-SIM,2.4,27.5,240 x 320,167,70,1200
2020,C2,Nokia,4,Android,9.0,"[('16', '1')]",111,"['Accelerometer', 'proximity']",154.8 x 75.6 x 8.9,161,Nano-SIM,5.7,71.6,720 x 1440,282,,2800
2019,C1,Nokia,4,Android,9.0,"[('16', '1')]",011,"['Accelerometer', 'proximity']",147.6 x 71.4 x 8.7,155,Nano-SIM,5.45,72.7,480 x 960,197,50,2500
2019,2.3,Nokia,4,Android,9.0,"[('32', '2')]",111,"['Accelerometer', 'proximity']",157.7 x 75.4 x 8.7,183,Nano-SIM,6.2,80.7,720 x 1520,271,120,4000
2019,7.2,Nokia,8,Android,9.0,"[('64', '4'), ('64', '6'), ('128', '4'), ('128', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",159.9 x 75.2 x 8.3,180,Nano-SIM,6.3,82.4,1080 x 2280,400,240,3500
2019,6.2,Nokia,8,Android,9.0,"[('32', '3'), ('64', '3'), ('64', '4'), ('128', '4')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",159.9 x 75.1 x 8.3,180,Nano-SIM,6.3,82.5,1080 x 2280,400,180,3500
2019,800 Tough,Nokia,2,KaiOS,2.5.2,"[('4', '512')]",111,[''],145.4 x 62.1 x 16.1,161,Nano-SIM,2.4,19.8,240 x 320,167,300,2100
2021,2720 V Flip,Nokia,2,KaiOS,2.5.2,"[('4', '512')]",111,[''],192.7 x 54.5 x 11.6,118,Nano-SIM,2.8,23.1,240 x 320,143,70,1500
2019,2720 Flip,Nokia,2,KaiOS,2.5.2,"[('4', '512')]",111,[''],192.7 x 54.5 x 11.6,118,Nano-SIM,2.8,23.1,240 x 320,143,140,1500
2019,220 4G,Nokia,,,,"[('24', '16')]",101,[''],121.3 x 52.9 x 13.4,86.5,Nano-SIM,2.4,27.8,240 x 320,167,40,1200
2019,110 (2019),Nokia,,,,"[('4',)]",001,[''],115.2 x 49.9 x 14.3,75,Mini-SIM,1.77,16.9,120 x 160,113,20,800
2019,105 (2019),Nokia,,,,"[('4', '4')]",001,[''],119 x 49.2 x 14.4,73,Mini-SIM,1.77,16.6,120 x 160,113,10,800
2019,3.1 C,Nokia,4,Android,9.0,"[('32', '2')]",111,"['Accelerometer', 'gyro', 'proximity']",152.7 x 71.9 x 9.4,156,Nano-SIM,5.45,69.8,720 x 1440,295,,2990
2019,3.1 A,Nokia,4,Android,9.0,"[('32', '2')]",111,"['Accelerometer', 'gyro', 'proximity']",152.7 x 71.9 x 9.4,156,Nano-SIM,5.45,69.8,720 x 1440,295,,2990
2019,2.2,Nokia,4,Android,9.0,"[('16', '2'), ('32', '3')]",111,"['Accelerometer', 'proximity']",146 x 70.6 x 9.3,153,Nano-SIM,5.71,79.0,720 x 1520,295,100,3000
2019,X71,Nokia,8,Android,9.0,"[('64', '6'), ('128', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",157.2 x 76.5 x 8,180,Nano-SIM,6.39,83.9,1080 x 2316,400,290,3500
2019,9 PureView,Nokia,8,Android,9.0,"[('128', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",155 x 75 x 8,172,Nano-SIM,5.99,79.7,1440 x 2880,538,210,3320
2019,4.2,Nokia,8,Android,9.0,"[('16', '2'), ('32', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity']",149 x 71.3 x 8.4,161,Nano-SIM,5.71,76.6,720 x 1520,295,130,3000
2020,3 V,Nokia,4,Android,9.0,"[('16', '2')]",111,"['Accelerometer', 'proximity']",161.2 x 76.2 x 9.1,188.6,Nano-SIM,6.26,79.6,720 x 1520,269,140,4000
2019,3.2,Nokia,4,Android,9.0,"[('16', '2'), ('32', '3'), ('64', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity']",159.4 x 76.2 x 8.6,181,Nano-SIM,6.26,80.5,720 x 1520,269,140,4000
2019,1 Plus,Nokia,4,Android,9.0,"[('8', '1'), ('16', '1'), ('16', '3')]",111,"['Accelerometer', 'proximity']",145 x 70.4 x 8.6,138.4,Nano-SIM,5.45,75.1,480 x 960,197,80,2500
2019,210,Nokia,,,,"[('16',)]",001,[''],120.8 x 53.5 x 13.8,82,Mini-SIM,2.4,27.6,240 x 320,167,30,1020
2018,8.1 (Nokia X7),Nokia,8,Android,9.0,"[('64', '4'), ('64', '6'), ('128', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",154.8 x 75.8 x 8,180,Nano-SIM,6.18,81.2,1080 x 2280,408,390,3500
2018,106 (2018),Nokia,,,,"[('4', '4')]",001,[''],111.2 x 49.5 x 14.4,70.2,Mini-SIM,1.8,18.2,120 x 160,111,20,800
2018,3.1 Plus,Nokia,8,Android,8.1,"[('16', '2'), ('32', '2'), ('32', '3')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",156.9 x 76.4 x 8.2,180,Nano-SIM,6.0,77.5,720 x 1440,268,120,3500
2018,7.1,Nokia,8,Android,8.1,"[('32', '3'), ('64', '4')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",149.7 x 71.2 x 8,160,Nano-SIM,5.84,79.9,1080 x 2280,432,240,3060
2018,6.1 Plus (Nokia X6),Nokia,8,Android,8.1,"[('32', '4'), ('64', '4'), ('64', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",147.2 x 71 x 8,151,Nano-SIM,5.8,81.5,1080 x 2280,432,160,3060
2018,5.1 Plus (Nokia X5),Nokia,8,Android,8.1,"[('32', '3'), ('64', '4'), ('64', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",149.5 x 72 x 8.1,160,Nano-SIM,5.86,79.6,720 x 1520,287,190,3060
2018,5.1,Nokia,8,Android,8.0,"[('16', '2'), ('32', '3')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",151.1 x 70.7 x 8.3,150,Nano-SIM,5.5,73.1,1080 x 2160,439,240,2970
2018,3.1,Nokia,8,Android,8.0,"[('16', '2'), ('32', '2'), ('32', '3')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",146.3 x 68.7 x 8.7,138.3,Nano-SIM,5.2,69.4,720 x 1440,310,200,2990
2018,2.1,Nokia,4,Android,8.1,"[('8', '1')]",111,"['Accelerometer', 'proximity']",153.6 x 77.6 x 9.7,174,Nano-SIM,5.5,70.0,720 x 1280,267,100,4000
2018,8110 4G,Nokia,2,KaiOS,2.5.1,"[('4', '512')]",111,[''],133.5 x 49.3 x 14.9,117,Micro-SIM,2.4,27.1,240 x 320,167,140,1500
2018,8 Sirocco,Nokia,8,Android,8.0,"[('128', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",140.9 x 73 x 7.5,177,Nano-SIM,5.5,81.1,1440 x 2560,534,1010,3260
2018,7 plus,Nokia,8,Android,8.1,"[('64', '4'), ('64', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",158.4 x 75.6 x 8,183,Nano-SIM,6.0,77.2,1080 x 2160,403,490,3800
2018,6.1,Nokia,8,Android,8.1,"[('32', '3'), ('32', '4'), ('64', '4')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",148.8 x 75.8 x 8.2,172,Nano-SIM,5.5,73.2,1080 x 1920,403,220,3000
2018,1,Nokia,4,Android,8.1,"[('8', '1')]",111,"['Accelerometer', 'proximity']",133.6 x 67.8 x 9.5,131,Micro-SIM,4.5,61.6,480 x 854,218,100,2150
2018,3310 4G,Nokia,,,,"[('512', '256')]",111,[''],117 x 52.4 x 13.4,88.1,Micro-SIM,2.4,29.1,240 x 320,167,100,1200
2017,2,Nokia,4,Android,7.1.1,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",143.5 x 71.3 x 9.3,161,Nano-SIM,5.0,67.4,720 x 1280,294,110,4100
