year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,size,screen_to_body_ratio,resolution,ppi_density,price,battery,sim
2020,Watch GT 2 Pro,Huawei,,Huawei,Lite,"[('4', '32')]",111,"['Accelerometer', 'gyro', 'heart rate', 'barometer', 'compass', 'SpO2', 'VO2max']",46.7 x 46.7 x 11.4,52,1.39,,454 x 454,326,140,455,
2020,Y9a,Huawei,8,Android,10,"[('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",163.5 x 76.5 x 9,197,6.63,84.8,1080 x 2400,397,200,4200,Nano-SIM
2020,Enjoy 20 Plus 5G,Huawei,8,Android,10,"[('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",163.5 x 76.5 x 9,197,6.63,84.8,1080 x 2400,397,280,4200,Nano-SIM
2020,Enjoy 20 5G,Huawei,8,Android,10,"[('64', '4'), ('128', '4'), ('128', '6')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",165.2 x 76 x 9.2,188,6.6,83.8,720 x 1600,266,210,5000,Nano-SIM
2020,Watch Fit,Huawei,,Proprietary,OS,"[('4',)]",111,"['Accelerometer', 'gyro', 'heart rate', 'SpO2']",46 x 30 x 10.7,21,1.64,,280 x 456,326,90,,
2020,MatePad 10.8,Huawei,8,Android,10,"[('64', '6'), ('128', '6'), ('256', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",257 x 170 x 7.2,500,10.8,77.4,1600 x 2560,280,300,7500,Nano-SIM
2020,MatePad T 10s,Huawei,8,Android,10,"[('16', '2'), ('32', '2'), ('64', '3'), ('64', '4'), ('128', '4')]",111,"['Accelerometer', 'proximity']",240.2 x 159 x 7.9,450,10.1,77.4,1200 x 1920,224,200,5100,Nano-SIM
2020,Enjoy Tablet 2,Huawei,8,Android,10,"[('64', '4'), ('128', '4')]",111,"['Accelerometer', 'proximity']",240.2 x 159 x 7.9,450,10.1,77.4,1200 x 1920,224,200,5100,
2020,Children's Watch 4X,Huawei,,Proprietary,OS,"[('16', '1')]",111,"['Accelerometer', 'gyro']",53 x 45.7 x 14.7,67.7,1.41,,320 x 360,342,170,800,Nano-SIM
2020,Enjoy 20 Pro,Huawei,8,Android,10,"[('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",160 x 75.3 x 8.4,192,6.5,84.7,1080 x 2400,405,250,4000,Nano-SIM
2020,Enjoy Z 5G,Huawei,8,Android,10,"[('64', '6'), ('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",160 x 75.3 x 8.4,182,6.5,84.7,1080 x 2400,405,220,4000,Nano-SIM
2020,P Smart S,Huawei,8,Android,10,"[('128', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",157.4 x 73.2 x 7.8,163,6.3,83.2,1080 x 2400,418,260,4000,Nano-SIM
2020,Y8p,Huawei,8,Android,10,"[('128', '4'), ('128', '6')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",157.4 x 73.2 x 7.8,163,6.3,83.2,1080 x 2400,418,240,4000,Nano-SIM
2020,P40 lite 5G,Huawei,8,Android,10,"[('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",162.3 x 75 x 8.6,189,6.5,83.8,1080 x 2400,405,190,4000,Nano-SIM
2020,P30 Pro New Edition,Huawei,8,Android,10,"[('128', '6'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'color spectrum']",158 x 73.4 x 8.4,192,6.47,88.6,1080 x 2340,398,820,4200,Nano-SIM
2020,MatePad T8,Huawei,8,Android,10,"[('16', '2'), ('32', '2'), ('32', '3')]",111,['Accelerometer'],199.7 x 121.1 x 8.6,310,8.0,76.7,800 x 1280,189,100,5100,Nano-SIM
2020,Y8s,Huawei,8,Android,9.0,"[('64', '4'), ('128', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",162.4 x 77.1 x 8.1,180,6.5,82.8,1080 x 2340,396,140,4000,Nano-SIM
2020,Y6p,Huawei,8,Android,10,"[('32', '3'), ('64', '3'), ('64', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity']",159.1 x 74.1 x 9,185,6.3,81.3,720 x 1600,278,160,5000,Nano-SIM
2020,Y5p,Huawei,8,Android,10,"[('32', '2')]",111,"['Accelerometer', 'proximity']",146.5 x 70.9 x 8.4,144,5.45,73.8,720 x 1440,295,110,3020,Nano-SIM
2020,P smart 2020,Huawei,8,Android,9.0,"[('128', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",155.2 x 73.4 x 8,160,6.21,83.1,1080 x 2340,415,200,3400,Nano-SIM
2020,nova 7 Pro 5G,Huawei,8,Android,10,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",160.4 x 73.7 x 8,178,6.57,89.6,1080 x 2340,392,480,4000,Nano-SIM
2020,nova 7 5G,Huawei,8,Android,10,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass']",160.6 x 74.3 x 8,180,6.53,86.3,1080 x 2400,403,390,4000,Nano-SIM
