year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2023,Xperia 5 V,Sony,8,Android,13,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",154 x 68 x 8.6,182,Nano-SIM,6.1,83.0,1080 x 2520,449,799.00,5000
2023,Xperia 1 V,Sony,8,Android,13,"[('256', '12'), ('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",165 x 71 x 8.3,187,Nano-SIM,6.5,84.2,1644 x 3840,643,1039.00,5000
2023,Xperia 10 V,Sony,8,Android,13,"[('128', '6'), ('128', '8')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",155 x 68 x 8.3,159,Nano-SIM,6.1,82.5,1080 x 2520,449,329.99,5000
2022,Xperia 5 IV,Sony,8,Android,12,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",156 x 67 x 8.2,172,Nano-SIM,6.1,83.2,1080 x 2520,449,732.10,5000
2022,Xperia 1 IV,Sony,8,Android,12,"[('256', '12'), ('512', '12'), ('512', '16')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",165 x 71 x 8.2,185,Nano-SIM,6.5,84.2,1644 x 3840,643,674.00,5000
2022,Xperia 10 IV,Sony,8,Android,12,"[('128', '6')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",153 x 67 x 8.3,161,Nano-SIM,6.0,82.0,1080 x 2520,457,260.00,5000
2021,Xperia Pro-I,Sony,8,Android,11,"[('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",166 x 72 x 8.9,211,Nano-SIM,6.5,82.5,1644 x 3840,643,699.00,4500
2021,Xperia 10 III Lite,Sony,8,Android,11,"[('64', '6')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",154 x 68 x 8.3,169,Nano-SIM,6.0,80.3,1080 x 2520,457,370,4500
2021,Xperia 1 III,Sony,8,Android,11,"[('256', '12'), ('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",165 x 71 x 8.2,186,Nano-SIM,6.5,84.2,1644 x 3840,643,249.00,4500
2021,Xperia 5 III,Sony,8,Android,11,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",157 x 68 x 8.2,168,Nano-SIM,6.1,81.4,1080 x 2520,449,250.98,4500
2021,Xperia 10 III,Sony,8,Android,11,"[('128', '6'), ('256', '6')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",154 x 68 x 8.3,169,Nano-SIM,6.0,80.3,1080 x 2520,457,222.00,4500
2020,Xperia Pro,Sony,8,Android,10,"[('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",170.2 x 76.2 x 10.2,225.1,Nano-SIM,6.5,76.0,1644 x 3840,643,2000,4000
2020,Xperia 5 II,Sony,8,Android,10,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",158 x 68 x 8,163,Nano-SIM,6.1,80.9,1080 x 2520,449,650,4000
2020,Xperia 1 II,Sony,8,Android,10,"[('256', '8'), ('256', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",165.1 x 71.1 x 7.6,181.4,Nano-SIM,6.5,84.0,1644 x 3840,643,700,4000
2020,Xperia 10 II,Sony,8,Android,10,"[('64', '4'), ('128', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",157 x 69 x 8.2,151,Nano-SIM,6.0,77.6,1080 x 2520,457,700,3600
2020,Xperia L4,Sony,8,Android,9.0,"[('64', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",159 x 71 x 8.7,178,Nano-SIM,6.2,79.5,720 x 1680,295,200,3580
2019,Xperia 5,Sony,8,Android,9.0,"[('128', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",158 x 68 x 8.2,164,Nano-SIM,6.1,80.9,1080 x 2520,449,500,3140
2019,Xperia 1,Sony,8,Android,9.0,"[('64', '6'), ('128', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",167 x 72 x 8.2,178,Nano-SIM,6.5,82.0,1644 x 3840,643,500,3330
2019,Xperia 10 Plus,Sony,8,Android,9.0,"[('64', '4'), ('64', '6')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",167 x 73 x 8.3,180,Nano-SIM,6.5,81.0,1080 x 2520,422,560,3000
2019,Xperia 10,Sony,8,Android,9.0,"[('64', '3'), ('64', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",156 x 68 x 8.4,162,Nano-SIM,6.0,79.3,1080 x 2520,457,280,2870
2019,Xperia L3,Sony,8,Android,8.0,"[('32', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",154 x 72 x 8.9,156,Nano-SIM,5.7,75.6,720 x 1440,282,230,3300
2018,Xperia XA2 Plus,Sony,8,Android,8.0,"[('32', '4'), ('64', '6')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",157 x 75 x 9.6,205,Nano-SIM,6.0,78.9,1080 x 2160,402,240,3580
2018,Xperia XZ3,Sony,8,Android,9.0,"[('64', '4'), ('64', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",158 x 73 x 9.9,193,Nano-SIM,6.0,80.5,1440 x 2880,537,510,3300
2018,Xperia XZ2 Premium,Sony,8,Android,8.0,"[('64', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",158 x 80 x 11.9,236,Nano-SIM,5.8,72.4,3840 x 2160,765,460,3540
2018,Xperia XZ2,Sony,8,Android,8.0,"[('64', '4'), ('64', '6')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'barometer', 'compass', 'color spectrum']",153 x 72 x 11.1,198,Nano-SIM,5.7,76.1,1080 x 2160,424,360,3180
