year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2022,1B (2022),alcatel,4,Android,11,"[('32', '2')]",111,['Accelerometer'],146.7 x 71.9 x 10,172,Nano-SIM,5.5,74.0,720 x 1440,293,100,3000
2021,1L Pro (2021),alcatel,8,Android,11,"[('32', '2')]",111,"['Fingerprint', 'accelerometer', 'proximity']",156.4 x 74.8 x 9.7,190,Nano-SIM,6.1,78.1,720 x 1560,282,110,3000
2021,1 (2021),alcatel,4,Android,11,"[('8', '1'), ('16', '1')]",111,"['Accelerometer', 'proximity']",137.6 x 65.7 x 9.8,134,Nano-SIM,5.0,71.4,480 x 960,215,60,2000
2021,3L (2021),alcatel,8,Android,11,"[('64', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",165.6 x 75.6 x 8.7,194,Nano-SIM,6.52,82.0,720 x 1600,269,330,4000
2021,1S (2021),alcatel,8,Android,11,"[('32', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",165.6 x 75.6 x 8.8,190,Nano-SIM,6.52,82.0,720 x 1600,269,130,4000
2021,1L (2021),alcatel,4,Android,11,"[('32', '2')]",111,"['Fingerprint', 'accelerometer', 'proximity']",155.9 x 74.5 x 9.9,179,Nano-SIM,6.1,78.6,720 x 1560,282,110,3000
2021,1V (2021),alcatel,4,Android,11,"[('32', '2'), ('64', '2')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",165.2 x 75.5 x 8.9,190,Nano-SIM,6.52,82.3,720 x 1600,269,100,5000
2020,1SE (2020),alcatel,8,Android,10,"[('32', '3'), ('64', '2'), ('128', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity']",159.2 x 75.2 x 8.7,175,Nano-SIM,6.22,80.7,720 x 1520,270,150,4000
2021,Go Flip 4,alcatel,4,KaiOS,3.0,"[('4', '512')]",111,[''],107.3 x 55.6 x 19.9,133,Nano-SIM,2.8,40.7,240 x 320,143,120,1850
2019,Go Flip 3,alcatel,4,KaiOS,2.5.2,"[('4', '512')]",111,[''],104.9 x 53.1 x 20.1,118,Nano-SIM,2.8,43.6,240 x 320,143,80,1350
2019,Go Flip V,alcatel,4,KaiOS,2.5.2,"[('8', '1')]",111,[''],104.9 x 52.8 x 18.7,118,Nano-SIM,2.8,43.8,240 x 320,143,80,1350
2020,3T10 2020,alcatel,4,Android,10,"[('32', '2')]",111,"['Accelerometer', 'proximity']",243.3 x 161.2 x 9.4,475,Nano-SIM,10.1,75.4,800 x 1280,149,170,5500
2020,3X (2020),alcatel,8,Android,10,"[('64', '4'), ('128', '4'), ('128', '6')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",165 x 75 x 9.1,186,Nano-SIM,6.52,82.9,720 x 1600,269,170,5000
2020,3L (2020),alcatel,8,Android,10,"[('64', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",158.7 x 74.6 x 8.5,165,Nano-SIM,6.22,81.6,720 x 1520,270,150,4000
2020,1S (2020),alcatel,8,Android,10,"[('32', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",158.7 x 74.6 x 8.5,165,Nano-SIM,6.22,81.6,720 x 1520,270,100,4000
2020,1V (2020),alcatel,8,Android,10,"[('32', '2')]",111,"['Fingerprint', 'accelerometer', 'proximity']",158.7 x 74.8 x 8.9,160,Nano-SIM,6.22,81.3,720 x 1520,270,80,4000
2020,1B (2020),alcatel,4,Android,10,"[('16', '2'), ('32', '2')]",111,"['Accelerometer', 'proximity']",146.1 x 71.6 x 9.9,168,Nano-SIM,5.5,74.6,720 x 1440,293,80,3000
2019,3v (2019),alcatel,8,Android,9.0,"[('32', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",174.5 x 83.3 x 8.4,197.9,Nano-SIM,6.7,79.7,720 x 1440,240,170,4000
2019,3x (2019),alcatel,8,Android,9.0,"[('64', '4'), ('128', '6')]",111,"['Fingerprint', 'accelerometer', 'proximity']",164.9 x 75.8 x 8.4,178,Nano-SIM,6.52,82.1,720 x 1600,269,150,4000
2019,1v (2019),alcatel,8,Android,9.0,"[('16', '1'), ('16', '2'), ('16', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity']",149.1 x 72.2 x 8.9,153.2,Nano-SIM,5.5,72.5,480 x 960,195,80,2460
