phone_id,sensor_id
1,25
1,26
1,5
1,3
1,22
2,25
2,26
2,5
2,3
2,22
3,25
3,26
3,3
3,22
4,25
4,26
4,5
4,3
4,22
5,9
5,3
6,25
6,26
6,5
6,3
6,22
7,25
7,26
7,5
7,3
7,22
8,25
8,26
8,3
8,22
9,25
9,26
9,3
9,22
10,25
10,26
10,5
10,3
10,22
11,25
11,26
11,5
11,3
11,22
11,1
12,9
13,25
13,26
13,3
13,22
14,25
14,26
14,3
15,9
15,3
16,25
16,26
16,3
16,22
17,25
17,26
17,5
17,3
17,22
18,25
18,26
18,5
18,3
18,22
19,25
19,26
19,5
19,3
19,22
20,9
20,5
20,3
20,22
21,9
21,3
22,7
22,17
22,26
22,5
22,3
22,22
22,1
23,7
23,17
23,26
23,5
23,3
23,22
23,1
24,7
24,17
24,26
24,5
24,3
24,22
24,1
25,25
25,26
25,3
25,22
26,25
26,26
26,3
26,22
27,9
27,5
27,3
27,22
28,25
28,26
28,5
28,3
28,22
28,33
29,25
29,26
29,5
29,3
29,22
30,25
30,26
30,3
30,22
31,25
31,26
31,3
31,22
32,25
32,26
32,3
33,25
33,26
33,5
33,3
33,22
34,25
34,26
34,5
34,3
34,22
35,9
35,5
35,3
35,22
36,25
36,26
36,5
36,3
36,22
36,33
37,25
37,26
37,5
37,3
37,22
38,25
38,26
38,5
38,3
38,22
39,25
39,26
39,3
39,22
40,9
40,3
40,22
41,11
41,17
41,26
41,5
41,3
41,33
41,22
42,11
42,17
42,26
42,5
42,3
42,33
42,22
42,1
43,11
43,17
43,26
43,5
43,3
43,33
43,22
44,11
44,17
44,26
44,5
44,3
44,33
44,22
45,11
45,17
45,26
45,5
45,3
45,33
45,22
46,25
46,26
46,5
46,3
46,22
47,25
47,26
47,5
47,3
47,22
48,25
48,26
48,5
48,3
48,22
49,25
49,26
49,5
49,3
49,22
50,9
50,5
50,3
50,22
51,9
51,5
51,3
51,22
52,25
52,26
52,5
52,3
52,22
53,25
53,26
53,5
53,3
53,22
54,25
54,26
54,3
54,22
55,25
55,26
55,5
55,3
55,22
56,25
56,26
56,5
56,3
56,22
57,25
57,26
57,5
57,3
57,22
58,25
58,26
58,5
58,3
58,33
58,22
59,25
59,26
59,5
59,3
59,22
59,1
60,25
60,26
60,5
60,3
60,22
60,1
61,25
61,26
61,5
61,3
61,22
62,25
62,26
62,5
62,3
62,22
63,9
63,3
64,9
64,3
65,25
65,26
65,3
65,22
66,25
66,26
66,5
66,3
66,22
67,9
67,3
68,9
68,3
69,25
69,26
69,3
70,25
70,26
70,3
70,22
71,25
71,26
71,3
71,22
72,9
72,3
72,22
73,9
73,3
74,25
74,26
74,5
74,3
74,22
75,25
75,26
75,3
75,22
76,9
76,3
76,22
77,11
77,17
77,26
77,5
77,3
77,33
77,22
78,25
78,26
78,5
78,3
78,33
78,22
79,11
79,17
79,26
79,5
79,3
79,33
79,22
80,25
80,26
80,5
80,3
80,33
80,22
81,9
82,25
82,26
82,3
82,22
83,25
83,26
83,5
83,3
83,22
84,25
84,26
84,5
84,3
84,22
85,25
85,26
85,3
85,22
86,25
86,26
86,5
86,3
86,22
87,7
87,17
87,26
87,5
87,3
87,22
88,9
88,3
89,9
89,3
90,25
90,26
90,3
91,9
91,3
92,23
92,26
92,5
92,3
92,22
92,33
93,25
93,26
93,5
93,3
93,22
93,1
94,25
94,26
94,5
94,3
94,22
94,1
95,25
95,26
95,5
95,3
95,22
96,9
96,3
96,22
97,25
97,26
97,3
97,22
98,25
98,26
98,3
98,22
99,25
99,26
99,5
99,3
99,22
100,25
100,26
