id,type,version
58,Android,5
5,Android,4.3
17,iOS,6
61,iOS,17
52,iOS,16
57,Android,2.3.5
43,iOS,5
78,Android,6.0
8,Android,6.0.1
32,Android,5.0.2
10,iOS,14.5.1
44,Android,4.1.2
37,Android,2.3.7
71,Android,4
76,Android,3.2
11,iOS,8.1
72,iOS,10.0.1
4,iOS,9
6,Android,4.1.1
27,iOS,12
46,Android,4.4.2
2,Android,4.0.3
79,iOS,8
68,Android,10
45,Android,4.4.4
51,other,-1
26,Android,14
38,Android,7
19,Android,2.1
28,iOS,14.1
54,Android,4.0.4
49,iOS,4
39,iOS,9.3.2
47,iOS,11.3
12,Android,5.2
36,Android,7.1
80,Android,5.0
73,iOS,10.3.2
18,Android,13
29,Android,2.3.6
1,iOS,14
62,Android,9.0
59,iOS,10.3
13,Android,3.0
15,iOS,13
64,iOS,15
81,Android,2.3.4
53,Android,2.3.3
60,Android,5.1.1
16,iOS,13.4
82,Android,5.1
42,Android,6
9,iOS,16.1
74,Android,4.4.3
40,Android,8.1
56,Android,7.1.2
75,Android,4.4
7,iOS,7
65,Android,8.0
70,iOS,11.1.1
21,iOS,15.4
25,Android,8
3,Android,5.0.1
69,iOS,11
24,Android,2.2
22,Android,6.1
66,Android,4.2.1
20,Android,2.3
30,Android,7.1.1
50,Android,4.1
34,Android,9
23,Android,7.0.1
41,Android,7.0
48,Android,4.2.2
55,Android,4.2
77,iOS,5.1
33,Android,12
14,Android,11
67,Android,4.0
35,iOS,12.1.3
31,Android,3.1
63,iOS,13.1
