phone_id,memory_id
1,27
1,76
2,27
2,76
3,55
3,44
3,27
4,35
4,27
4,68
5,69
5,25
5,22
5,55
5,44
6,27
6,76
7,35
7,27
7,76
8,44
9,44
9,27
10,27
10,76
11,27
11,16
12,69
12,25
12,7
13,55
13,44
14,7
14,22
14,55
15,25
16,44
17,76
17,16
18,76
18,16
19,27
19,76
19,16
20,7
20,55
20,44
20,27
21,55
21,44
22,16
22,24
23,76
23,16
23,24
24,27
24,76
24,16
25,55
26,27
26,76
27,27
27,16
27,24
28,24
29,27
29,68
30,55
31,76
32,7
32,22
33,27
34,76
35,27
35,16
35,24
36,24
37,27
38,35
38,27
39,35
39,44
39,27
39,76
40,55
40,35
40,44
41,8
42,76
42,16
42,24
43,76
43,16
44,27
44,76
44,16
45,27
45,76
46,27
46,76
46,16
47,44
47,27
47,76
48,27
48,76
49,55
49,44
49,68
50,27
51,55
51,44
51,76
52,76
52,16
53,76
54,27
54,76
55,55
55,44
56,55
56,44
57,55
58,27
58,16
59,27
59,76
59,16
59,24
60,79
60,27
60,76
60,16
61,55
61,44
61,27
61,76
61,77
61,68
62,44
62,27
62,76
63,69
63,25
64,7
64,22
65,55
65,35
65,44
66,44
67,7
67,55
67,44
68,7
69,25
70,7
70,55
71,7
71,22
72,7
72,55
72,44
73,57
74,27
74,76
75,7
75,22
76,7
76,55
77,16
77,24
78,27
78,16
79,27
79,76
79,16
80,35
80,44
80,27
81,69
81,25
81,7
81,55
82,7
82,55
83,22
83,55
83,44
83,27
84,55
84,35
85,22
85,27
86,55
86,44
86,27
87,35
87,44
87,27
88,57
88,69
88,25
89,17
90,69
90,7
91,69
91,53
92,68
92,73
93,35
93,27
93,76
93,68
93,16
94,55
94,35
94,44
94,27
95,7
95,33
95,55
95,44
96,7
97,7
97,55
98,69
99,7
99,55
99,44
100,55
100,44
101,33
101,55
101,44
102,33
102,55
102,44
103,7
103,55
104,55
104,35
104,27
105,68
106,55
106,27
107,55
108,55
109,69
110,7
111,74
111,7
111,55
112,57
112,69
112,25
112,7
113,74
113,7
113,55
114,55
114,44
115,55
116,69
117,69
117,7
118,69
119,69
120,17
120,13
121,55
121,35
121,27
122,33
122,55
123,7
123,33
123,55
124,53
124,33
124,55
125,69
125,7
126,55
126,27
127,68
128,33
128,55
129,33
129,55
130,7
131,7
132,69
132,7
133,17
133,57
133,69
134,7
134,33
134,55
135,69
136,17
137,17
138,69
138,53
139,33
139,55
140,7
140,55
141,69
141,22
142,69
143,7
143,55
143,44
144,69
145,7
145,22
145,46
146,7
146,22
146,46
147,17
147,32
148,69
148,7
149,17
150,66
151,69
152,69
153,22
154,53
154,7
154,22
155,17
156,66
157,20
158,66
159,20
160,20
161,17
162,22
163,17
163,57
164,17
164,57
165,17
166,17
167,66
168,69
169,17
170,20
171,69
172,17
173,20
174,17
174,57
175,17
176,66
177,17
178,69
179,20
180,66
180,17
181,69
182,69
183,20
184,40
184,89
185,17
186,20
187,32
188,66
189,66
190,17
191,32
191,69
192,20
193,66
194,47
195,57
196,17
197,66
198,20
199,20
200,32
201,25
202,20
203,66
204,17
204,57
204,13
205,66
206,83
207,20
208,20
209,20
210,66
211,32
211,69
211,25
211,43
212,17
213,17
214,17
215,17
216,66
217,17
218,67
219,67
219,20
220,5
221,67
222,87
223,55
223,44
224,55
224,76
225,22
225,55
225,44
226,16
227,16
228,16
228,1
229,43
230,16
231,55
231,44
232,44
232,27
232,76
233,76
233,16
234,16
235,55
235,44
236,43
236,22
236,55
236,44
236,27
237,76
237,16
238,55
238,27
239,76
240,43
240,22
241,35
242,55
242,44
242,27
243,44
243,16
244,44
245,55
245,44
245,27
246,44
246,27
247,25
247,22
248,55
249,43
249,22
249,55
250,76
251,25
252,55
252,44
253,55
254,55
254,35
254,44
254,27
254,76
255,55
255,44
255,27
256,25
256,22
257,55
257,44
258,76
259,76
260,7
260,43
260,55
260,27
261,55
261,44
262,55
262,44
263,25
264,25
265,76
