phone_id,sensor_id
1,6
1,32
1,27
1,18
1,9
2,6
2,32
2,27
2,18
2,9
3,6
3,32
3,18
3,9
4,6
4,32
4,27
4,18
4,9
5,22
5,18
6,6
6,32
6,27
6,18
6,9
7,6
7,32
7,27
7,18
7,9
8,6
8,32
8,18
8,9
9,6
9,32
9,18
9,9
10,6
10,32
10,27
10,18
10,9
11,6
11,32
11,27
11,18
11,9
11,21
12,22
13,6
13,32
13,18
13,9
14,6
14,32
14,18
15,22
15,18
16,6
16,32
16,18
16,9
17,6
17,32
17,27
17,18
17,9
18,6
18,32
18,27
18,18
18,9
19,6
19,32
19,27
19,18
19,9
20,22
20,27
20,18
20,9
21,22
21,18
22,26
22,19
22,32
22,27
22,18
22,9
22,21
23,26
23,19
23,32
23,27
23,18
23,9
23,21
24,26
24,19
24,32
24,27
24,18
24,9
24,21
25,6
25,32
25,18
25,9
26,6
26,32
26,18
26,9
27,22
27,27
27,18
27,9
28,6
28,32
28,27
28,18
28,9
28,24
29,6
29,32
29,27
29,18
29,9
30,6
30,32
30,18
30,9
31,6
31,32
31,18
31,9
32,6
32,32
32,18
33,6
33,32
33,27
33,18
33,9
34,6
34,32
34,27
34,18
34,9
35,22
35,27
35,18
35,9
36,6
36,32
36,27
36,18
36,9
36,24
37,6
37,32
37,27
37,18
37,9
38,6
38,32
38,27
38,18
38,9
39,6
39,32
39,18
39,9
40,22
40,18
40,9
41,5
41,19
41,32
41,27
41,18
41,24
41,9
42,5
42,19
42,32
42,27
42,18
42,24
42,9
42,21
43,5
43,19
43,32
43,27
43,18
43,24
43,9
44,5
44,19
44,32
44,27
44,18
44,24
44,9
45,5
45,19
45,32
45,27
45,18
45,24
45,9
46,6
46,32
46,27
46,18
46,9
47,6
47,32
47,27
47,18
47,9
48,6
48,32
48,27
48,18
48,9
49,6
49,32
49,27
49,18
49,9
50,22
50,27
50,18
50,9
51,22
51,27
51,18
51,9
52,6
52,32
52,27
52,18
52,9
53,6
53,32
53,27
53,18
53,9
54,6
54,32
54,18
54,9
55,6
55,32
55,27
55,18
55,9
56,6
56,32
56,27
56,18
56,9
57,6
57,32
57,27
57,18
57,9
58,6
58,32
58,27
58,18
58,24
58,9
59,6
59,32
59,27
59,18
59,9
59,21
60,6
60,32
60,27
60,18
60,9
60,21
61,6
61,32
61,27
61,18
61,9
62,6
62,32
62,27
62,18
62,9
63,22
63,18
64,22
64,18
65,6
65,32
65,18
65,9
66,6
66,32
66,27
66,18
66,9
67,22
67,18
68,22
68,18
69,6
69,32
69,18
70,6
70,32
70,18
70,9
71,6
71,32
71,18
71,9
72,22
72,18
72,9
73,22
73,18
74,6
74,32
74,27
74,18
74,9
75,6
75,32
75,18
75,9
76,22
76,18
76,9
77,5
77,19
77,32
77,27
77,18
77,24
77,9
78,6
78,32
78,27
78,18
78,24
78,9
79,5
79,19
79,32
79,27
79,18
79,24
79,9
80,6
80,32
80,27
80,18
80,24
80,9
81,22
82,6
82,32
82,18
82,9
83,6
83,32
83,27
83,18
83,9
84,6
84,32
84,27
84,18
84,9
85,6
85,32
85,18
85,9
86,6
86,32
86,27
86,18
86,9
87,26
87,19
87,32
87,27
87,18
87,9
88,22
88,18
89,22
89,18
90,6
90,32
90,18
91,22
91,18
92,3
92,32
92,27
92,18
92,9
92,24
93,6
93,32
93,27
93,18
93,9
93,21
94,6
94,32
94,27
94,18
94,9
94,21
95,6
95,32
95,27
95,18
95,9
96,22
96,18
96,9
